Item,q1,median,q3,min,max,mean
Cassava,88492.0,128200.0,218232.0,11778,385818,150479.46699266502
Maize,17086.0,25401.0,48243.0,849,207556,36310.070613928656
Plantains and others,59900.75,89860.5,121998.0,21350,418505,106041.32014388489
Potatoes,140233.25,182271.0,253729.0,8406,501412,199801.54957904585
"Rice, paddy",27316.0,35878.0,50010.25,2034,103895,40730.43476977568
Sorghum,7786.0,12885.0,26255.5,578,206000,18635.77722935176
Soybeans,10734.0,15533.0,22075.0,50,41609,16731.09277071052
Sweet potatoes,80643.0,99940.0,157526.5,8799,400000,119057.7937716263
Wheat,18696.0,25497.0,36447.0,1706,99387,30116.26782473425
Yams,77259.0,92593.0,149922.0,11475,250000,114140.34592680047
